1682525635.013744 client started (2564): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1682525635.013823 on Darwin 22.4.0 Darwin Kernel Version 22.4.0: Mon Mar  6 20:59:28 PST 2023; root:xnu-8796.101.5~3/RELEASE_ARM64_T6000
1682525635.014274 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.3
1682525635.024423 sending message 105 to peer 0x130008000 (60 bytes)
1682525635.024437 sending message 105 to peer 0x130008000 (26 bytes)
1682525635.024452 sending message 105 to peer 0x130008000 (87 bytes)
1682525635.024462 sending message 105 to peer 0x130008000 (25 bytes)
1682525635.024474 sending message 106 to peer 0x130008000 (0 bytes)
1682525635.024557 sending message 200 to peer 0x130008000 (4 bytes)
1682525635.024573 client loop enter
1682525635.024625 client_signal: Child exited: 20
1682525635.074666 peer 0x130008000 message 207
1682525635.074673 sending message 208 to peer 0x130008000 (0 bytes)
1682525637.497553 peer 0x130008000 message 203
1682525637.497572 sending message 205 to peer 0x130008000 (0 bytes)
1682525637.497824 peer 0x130008000 message 204
1682525637.497843 client loop exit
